,timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,SMA_20,EMA_50,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,RSI,STOCH_K,STOCH_D,STOCHRSI_K,STOCHRSI_D,MOM,WILLR,ROC,MFI,ATR,NATR,OBV,AD,ADOSC,CCI,CMO,TRIX,ULTOSC
405,2024-11-21 01:00:00,0.45,0.45,0.45,0.45,0.0,1732154399999,0,0,0,0,0,0.44573999999999936,0.43789783608821187,0.004390139281352123,0.004565707007161662,-0.00017556772580953894,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,0.0,0.0,0.0,0.0008060494497079449,0.17912209993509887,5001.000000000003,-73159.5,-0.000873521261382848,-66.66666666666667,58.31073658963485,0.09548987698015932,14.285714285714285
406,2024-11-21 02:00:00,0.45,0.45,0.45,0.45,0.0,1732157999999,0,0,0,0,0,0.44680499999999934,0.43837243075141924,0.004181344858043168,0.004488834577337964,-0.0003074897192947958,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,0.0,0.0,0.0,0.0007484744890145203,0.16632766422544895,5001.000000000003,-73159.5,-0.0007146992138586938,-66.66666666666667,58.31073658963485,0.09656496468823939,14.285714285714285
407,2024-11-21 03:00:00,0.45,0.45,0.45,0.45,120.0,1732161599999,54.00000,1,120.0,54.00000,0,0.4478699999999994,0.43882841385920673,0.0039701088300029275,0.0043850894278709565,-0.0004149805978680291,0.45,0.45,0.45,79.15536829481744,0.0,-1.1842378929335004e-14,100.0,33.33333333333337,0.0,0.0,0.0,0.0,0.0006950120255134831,0.154447116780774,5001.000000000003,-73159.5,-0.0005847538996022195,-66.66666666666667,58.31073658963486,0.0974903624693102,14.285714285714285
408,2024-11-21 04:00:00,0.45,0.45,0.45,0.45,0.0,1732165199999,0,0,0,0,0,0.44893499999999936,0.43926651527649274,0.0037593671119656724,0.0042599449646899,-0.0005005778527242275,0.45,0.45,0.45,79.15536829481744,0.0,-1.1842378929335004e-14,100.0,66.6666666666667,0.0,0.0,0.0,0.0,0.0006453683094053772,0.1434151798678616,5001.000000000003,-73159.5,-0.0004784350167028606,-66.66666666666667,58.31073658963486,0.09825484003991303,14.285714285714285
409,2024-11-21 05:00:00,0.45,0.45,0.45,0.45,0.0,1732168799999,0,0,0,0,0,0.4499999999999994,0.43968743624604206,0.0035514142888656286,0.004118238829525046,-0.000566824540659417,0.45,0.45,0.45,79.15536829481744,0.0,-1.1842378929335004e-14,100.0,100.00000000000004,0.0,0.0,0.0,0.0,0.0005992705730192788,0.1331712384487286,5001.000000000003,-73159.5,-0.00039144683978520334,-66.66666666666667,58.31073658963486,0.09885102722226868,14.285714285714285
410,2024-11-21 06:00:00,0.45,0.45,0.45,0.45,0.0,1732172399999,0,0,0,0,0,0.4499999999999994,0.44009185051090316,0.0033480163301534693,0.00396419432965073,-0.0006161779994972609,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,66.6666666666667,0.0,0.0,0.0,0.0,0.0005564655320893303,0.12365900713096228,5001.000000000003,-73159.5,-0.00032027468841988593,-66.66666666666667,58.31073658963485,0.09927484308089873,14.285714285714285
411,2024-11-21 07:00:00,0.45,0.45,0.45,0.45,45377.5,1732175999999,20419.87500,1,45377.5,20419.87500,0,0.4499999999999994,0.4404804053928285,0.0031505049228415793,0.0038014564482889,-0.0006509515254473205,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,0.0,0.0,0.0,0.0005167179940829496,0.11482622090732214,5001.000000000003,-73159.5,-0.00026204292953480035,-66.66666666666667,58.31073658963485,0.09952498964489465,14.285714285714285
412,2024-11-21 08:00:00,0.45,0.45,0.45,0.45,0.0,1732179599999,0,0,0,0,0,0.4499999999999994,0.44085372282840385,0.0029598563282486334,0.0036331364242808465,-0.0006732800960322131,0.45,0.45,0.45,79.15536829481744,0.0,-1.1842378929335004e-14,100.0,33.33333333333337,0.0,0.0,0.0,0.0,0.0004798095659341675,0.10662434798537056,5001.000000000003,-73159.5,-0.00021439876582007855,-66.66666666666667,58.31073658963486,0.09960250397433867,14.285714285714285
413,2024-11-21 09:00:00,0.45,0.45,0.45,0.45,1111.1,1732183199999,499.99500,1,1111.1,499.99500,0,0.4499999999999994,0.4412124003645449,0.002776757214784098,0.003461860582381497,-0.000685103367597399,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,0.0,0.0,0.0,0.00044553745408172694,0.09900832312927266,5001.000000000003,-73159.5,-0.00017541716806590557,-66.66666666666667,58.31073658963485,0.09951036287954018,14.285714285714285
414,2024-11-21 10:00:00,0.45,0.45,0.45,0.45,986.9,1732186799999,444.10500,2,986.9,444.10500,0,0.4499999999999994,0.4415570121149549,0.00260165953654512,0.0032898203732142214,-0.0006881608366691013,0.45,0.45,0.45,79.15536829481744,0.0,-1.1842378929335004e-14,100.0,66.6666666666667,0.0,0.0,0.0,0.0,0.00041371335021874643,0.09193630004861032,5001.000000000003,-73159.5,-0.00014352313883136958,-66.66666666666667,58.31073658963485,0.09925313509868694,14.285714285714285
415,2024-11-21 11:00:00,0.45,0.45,0.45,0.45,1451.7,1732190399999,653.26500,3,1451.7,653.26500,0,0.4499999999999994,0.4418881096790743,0.0024348262041750113,0.0031188215394063793,-0.000683995335231368,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,0.0,0.0,0.0,0.0003841623966316931,0.08536942147370957,5001.000000000003,-73159.5,-0.00011742801871150732,-66.66666666666667,58.310736589634836,0.09883667619174918,14.285714285714285
416,2024-11-21 12:00:00,0.45,0.45,0.45,0.45,0.0,1732193999999,0,0,0,0,0,0.4499999999999994,0.44220622302499296,0.0022763690212163623,0.0029503310357683757,-0.0006739620145520134,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,0.0,0.0,0.0,0.00035672222544371504,0.0792716056541589,5001.000000000003,-73159.5,-9.607747779227793e-05,-66.66666666666667,58.310736589634836,0.09826786182052238,14.285714285714285
417,2024-11-21 13:00:00,0.45,0.45,0.45,0.45,0.0,1732197599999,0,0,0,0,0,0.4499999999999994,0.44251186133773834,0.0021262801283432053,0.0027855208542833416,-0.0006592407259401363,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,3.789561257387201e-14,0.0,0.0,0.0,0.0,0.0003312420664834497,0.07360934810743326,5001.000000000003,-73159.5,-7.860884943511337e-05,-66.66666666666667,58.31073658963483,0.09755435546501268,14.285714285714285
418,2024-11-21 14:00:00,0.45,0.45,0.45,0.45,0.0,1732201199999,0,0,0,0,0,0.4499999999999994,0.4428055138342976,0.0019844580028346437,0.002625308283993602,-0.0006408502811589582,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,3.789561257387201e-14,0.0,0.0,0.0,0.0,0.00030758191887748904,0.0683515375283309,5001.000000000003,-73159.5,-6.431633664760739e-05,-66.66666666666667,58.310736589634836,0.09670440697395755,0.0
419,2024-11-21 15:00:00,0.45,0.45,0.45,0.45,1166.2,1732204799999,524.79000,1,1166.2,524.79000,0,0.4499999999999994,0.4430876505466781,0.0018507288959224155,0.0024703924063793647,-0.0006196635104569492,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,3.789561257387201e-14,0.0,0.0,0.0,0.0,0.00028561178181481125,0.06346928484773583,5001.000000000003,-73159.5,-5.262246122583747e-05,-66.66666666666667,58.310736589634836,0.09572667866974971,0.0
420,2024-11-21 16:00:00,0.45,0.45,0.45,0.45,0.0,1732208399999,0,0,0,0,0,0.4499999999999994,0.44335872307425933,0.001724864451521979,0.0023212868154078876,-0.0005964223638859085,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,3.789561257387201e-14,0.0,0.0,0.0,0.0,0.00026521094025661046,0.058935764501468986,5001.000000000003,-73159.5,-4.3054737034253776e-05,-66.66666666666667,58.310736589634836,0.0946300960239066,0.0
421,2024-11-21 17:00:00,0.45,0.45,0.45,0.45,0.0,1732211999999,0,0,0,0,0,0.4499999999999994,0.4436191653066413,0.0016065961323875055,0.002178348678803811,-0.0005717525464163055,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,3.789561257387201e-14,0.0,0.0,0.0,0.0,0.00024626730166685257,0.054726067037078344,5001.000000000003,-73159.5,-3.522660699672997e-05,-66.66666666666667,58.310736589634836,0.09342372019323086,0.0
422,2024-11-21 18:00:00,0.45,0.45,0.45,0.45,0.0,1732215599999,0,0,0,0,0,0.4499999999999994,0.4438693941181456,0.0014956269805597722,0.002041804339155003,-0.0005461773585952309,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,3.789561257387201e-14,0.0,0.0,0.0,0.0,0.00022867678011922023,0.05081706224871561,5001.000000000003,-73159.5,-2.882177068386227e-05,-66.66666666666667,58.310736589634836,0.0921166399597606,0.0
423,2024-11-21 19:00:00,0.45,0.45,0.45,0.45,0.0,1732219199999,0,0,0,0,0,0.4499999999999994,0.44410981003508104,0.0013916411552752361,0.0019117717023790497,-0.0005201305471038136,0.45,0.45,0.45,79.15536829481744,0.0,-1.1842378929335004e-14,100.0,33.33333333333337,0.0,0.0,0.0,0.0,0.0002123427243964188,0.04718727208809306,5001.000000000003,-73159.5,-2.3581451387144625e-05,-66.66666666666667,58.31073658963485,0.09071788084937804,0.0
424,2024-11-21 20:00:00,0.45,0.45,0.45,0.45,0.0,1732222799999,0,0,0,0,0,0.4499999999999994,0.44434079787684255,0.001294311620875399,0.0017882796860783196,-0.0004939680652029205,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,0.0,0.0,0.0,0.00019717538693953175,0.04381675265322928,5001.000000000003,-73159.5,-1.92939187400043e-05,-66.66666666666667,58.310736589634836,0.08923632941901793,0.0
425,2024-11-21 21:00:00,0.45,0.45,0.45,0.45,0.0,1732226399999,0,0,0,0,0,0.4499999999999994,0.44456272737186836,0.0012033062976746778,0.0016712850083975912,-0.00046797871072291343,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,0.0,0.0,0.0,0.0001830914307295652,0.04068698460657004,5001.000000000003,-73159.5,-1.578593219164759e-05,-66.66666666666667,58.310736589634836,0.08768067089890419,0.0
