=== INDICATOR VERIFICATION REPORT ===

Total files processed: 319

=== PROCESSED PAIRS ===
             symbol  rows  indicators                                  date_range
135         LRCUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
136         OXTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
137        BOMEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
138        LOOMUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
139         ADAUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
140       PONKEUSDT   493          39  2024-11-04 11:00:00 to 2024-11-24 23:00:00
141         ENSUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
142         HFTUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
143         GMTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
144       LUNA2USDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
145        ALGOUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
146        ANKRUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
147          ARUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
148         ONGUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
149       LISTAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
150        KAVAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
151       SUSHIUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
152       MAGICUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
153         SYNUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
154         MEWUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
155    1000SHIBUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
156        STMXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
157         AMBUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
158        FLUXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
159        BANDUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
160        RAREUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
161         OMGUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
162         BSVUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
163         XVSUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
164         NMRUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
165        CELOUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
166        CATIUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
167    1000LUNCUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
168        ONDOUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
169         SOLUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
170       THETAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
171       DRIFTUSDT   394          39  2024-11-08 14:00:00 to 2024-11-24 23:00:00
172      BANANAUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
173       SUPERUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
174         XVGUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
175       LEVERUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
176          ZKUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
177        RDNTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
178        MEMEUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
179         ZILUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
180       1000XUSDT   276          39  2024-11-13 11:00:00 to 2024-11-24 22:00:00
181         ILVUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
182         BANUSDT   157          39  2024-11-18 10:00:00 to 2024-11-24 22:00:00
183       TOKENUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
184       SPELLUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
185        USTCUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
186         GASUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
187       PIXELUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
188         KNCUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
189       CYBERUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
190        GOATUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
191        MINAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
192        CELRUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
